Occupation - unit group,Gender,Taxable income range - tax brackets,Number of individuals,"Taxable income or loss 
no.","Taxable income or loss 
$","Tax on taxable income 
no.","Tax on taxable income 
$","Medicare levy 
no.","Medicare levy 
$","Medicare levy surcharge 
no.","Medicare levy surcharge 
$","Total Medicare levy liability 
no.","Total Medicare levy liability 
$","Net tax 
no.","Net tax 
$","HELP assessment debt 
no.","HELP assessment debt 
$","Salary or wages 
no.","Salary or wages 
$","Tax withheld from salary or wages 
no.","Tax withheld from salary or wages 
$","Allowances earnings tips directors fees etc 
no.","Allowances earnings tips directors fees etc 
$","Employer lump sum payments amount A 
no.","Employer lump sum payments amount A 
$","Employment termination payments taxable component 
no.","Employment termination payments taxable component 
$","Australian government allowances and payments 
no.","Australian government allowances and payments 
$","Australian government pensions and allowances 
no.","Australian government pensions and allowances 
$","Australian annuities and superannuation income streams taxable component taxed element 
no.","Australian annuities and superannuation income streams taxable component taxed element 
$","Australian annuities and superannuation income streams taxable component untaxed element 
no.","Australian annuities and superannuation income streams taxable component untaxed element 
$","Gross interest 
no.","Gross interest 
$","Dividends unfranked 
no.","Dividends unfranked 
$","Dividends franked 
no.","Dividends franked 
$","Dividends franking credit 
no.","Dividends franking credit 
$","Total Income or Loss 
no.","Total Income or Loss 
$","Total work related car expenses 
no.","Total work related car expenses 
$","Work related travel expenses 
no.","Work related travel expenses 
$","Total work related uniform/clothing expenses 
no.","Total work related uniform/clothing expenses 
$","Total work related self education expenses 
no.","Total work related self education expenses 
$","Other work related expenses 
no.","Other work related expenses 
$","Total work related expenses 
no.","Total work related expenses 
$","Low value pool deduction 
no.","Low value pool deduction 
$","Interest deductions 
no.","Interest deductions 
$","Dividend deductions 
no.","Dividend deductions 
$","Gifts or donations 
no.","Gifts or donations 
$","Cost of managing tax affairs 
no.","Cost of managing tax affairs 
$","Total deductions 
no.","Total deductions 
$","Total reportable fringe benefits amount 
no.","Total reportable fringe benefits amount 
$","Reportable employer superannuation contributions 
no.","Reportable employer superannuation contributions 
$","P&T net primary production amount 
no.","P&T net primary production amount 
$","P&T net non-primary production amount 
no.","P&T net non-primary production amount 
$","Share of franking credit from franked dividends 
no.","Share of franking credit from franked dividends 
$","Net PSI transferred 
no.","Net PSI transferred 
$","Deferred non-commercial business losses primary production deferred losses 
no.","Deferred non-commercial business losses primary production deferred losses 
$","Deferred non-commercial business losses non primary production deferred losses 
no.","Deferred non-commercial business losses non primary production deferred losses 
$","Capital gains net capital gain 
no.","Capital gains net capital gain 
$","Estimated tax on net capital gains 
no.","Estimated tax on net capital gains 
$","Capital gains total current year capital gains 
no.","Capital gains total current year capital gains 
$","Capital gains net capital losses carried forward 
no.","Capital gains net capital losses carried forward 
$","Foreign source income assessable foreign source income 
no.","Foreign source income assessable foreign source income 
$","Foreign source income other net foreign source income 
no.","Foreign source income other net foreign source income 
$","Foreign source income foreign income tax offset 
no.","Foreign source income foreign income tax offset 
$","Gross rent 
no.","Gross rent 
$","Rent interest deductions 
no.","Rent interest deductions 
$","Rent capital works deductions 
no.","Rent capital works deductions 
$","Rent other rental deductions 
no.","Rent other rental deductions 
$","Net rent - profit 
no.","Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent 
no.","Net rent 
$","Other income category 1 
no.","Other income category 1 
$","Other income category 2 
no.","Other income category 2 
$","Personal superannuation contributions 
no.","Personal superannuation contributions 
$","Other deductions 
no.","Other deductions 
$","Total business income 
no.","Total business income 
$","Total business expenses 
no.","Total business expenses 
$","Net income or loss from business 
no.","Net income or loss from business 
$","Estimated business net tax 
no.","Estimated business net tax 
$","Australian superannuation income stream tax offset 
no.","Australian superannuation income stream tax offset 
$","Small business income tax offset 
no.","Small business income tax offset 
$","Low income tax offset 
no.","Low income tax offset 
$","Employment termination payment tax offset 
no.","Employment termination payment tax offset 
$","HELP debt balance 
no.","HELP debt balance 
$","SFSS debt balance 
no.","SFSS debt balance 
$","TSL debt balance 
no.","TSL debt balance 
$","People with private health insurance 
no.","Private health insurance - your Australian Government rebate received 
no.","Private health insurance - your Australian Government rebate received 
$","Private health insurance rebate 
no.","Private health insurance rebate 
$","Excess private health reduction or refund (rebate reduced) 
no.","Excess private health reduction or refund (rebate reduced) 
$"
1493 Conference and Event Organisers,Female,"a. $18,200 or less",1056,1049,9728149,14,10664.63,1,40.79,1,544.38,2,585.17,10,10570.77,2,5909.97,1035,9735647,931,1218332.88,121,71731,18,88316,13,28464,132,955941,16,120228,3,6677,3,32035,625,261628,32,5883,112,126418,112,54145,1056,11873282,122,173904,48,22839,198,39123,16,47399,272,143715,378,426980,13,6164,9,10689,3,54342,146,41379,227,55446,496,628792,47,941634,37,135733,4,1262196,56,-133065,28,19178.12,27,81240,0,0,34,290959,23,26266,0,0,30,129966,44,1071739,30,47137,25,14582,27,2888.98,115,1527606,104,986314,67,159329,113,1301273,29,114418,85,-1033728,116,-919310,9,6895,3,7278,1,5000,19,28712,109,2122209,103,2173622,117,-291379,0,0,0,0,0,0,6,679.03,0,0,306,6296312.91,7,50562,0,0,599,443,250706,58,12093.61,63,17670.27
1493 Conference and Event Organisers,Female,"b. $18,201 to $37,000",2267,2267,64021847,2264,4353162.23,1668,881802.03,5,1376.9,1665,881723.38,1922,4049606.46,34,89486.35,2249,60900909,2197,8829997,416,573844,23,119177,40,66482,334,1669404,122,1611971,12,75507,6,52740,1414,641958,54,16752,208,228499,207,97853,2267,68386382,994,1677593,383,255695,1208,358080,121,281058,1468,1187390,1813,3759816,35,16215,33,26646,10,15785,816,191697,1002,213213,1919,4309769,207,5414118,107,555834,6,33701,118,591133,49,57069.97,50,393903,3,43723,61,405718,51,168288,41,7439.07,63,540206,70,1856622,65,285490,54,116944,51,22031.8,230,2955382,209,1915036,118,218564,232,1458182,71,327690,162,-964090,233,-636400,23,25615,12,10227,1,30000,43,56397,243,4536332,234,3401137,259,968573,155,96239.51,9,6329.39,127,4415.99,2170,911522.26,2,39.78,783,17754676.62,22,308355,1,1333.34,1281,1039,571362,111,24001.28,118,26567.03
1493 Conference and Event Organisers,Female,"c. $37,001 to $80,000",6402,6402,352794679,6400,60543874.1,6226,6838091.3,35,19724.75,6227,6857816.05,6397,65855021.83,946,2818590.08,6387,355446694,6370,75644052.11,1194,1354680,126,782101,133,406900,156,482438,101,669385,23,193054,5,135771,4381,1856427,140,20680,650,677667,647,289762,6402,369925564,3694,6896342,1644,1479325,3988,1209238,339,632737,5081,4977731,5846,15195373,91,45589,112,61969,45,42819,3013,623633,3504,763604,6027,17105626,386,8668224,498,2246818,13,1974,345,3739763,171,271845.41,88,852194,7,39326,115,636429,153,728374,153,143402.08,182,1450243,171,2158577,169,427730,151,131469,142,40920.7,631,9346829,601,6033058,288,665570,644,4690624,150,903469,494,-2945892,644,-2042423,57,130169,36,58579,5,137487,184,232915,349,7074254,343,4181121,375,2620552,248,569491.17,24,37435,234,33026.25,5236,1214429.25,260,88231.16,2100,47757744.92,53,518357,1,2000.01,4257,3807,2039494,390,92779.41,550,112160.87
1493 Conference and Event Organisers,Female,"d. $80,001 to $180,000",1122,1122,113593782,1122,28510604.39,1111,2243924.69,44,43046.46,1112,2286971.15,1122,30531467.47,138,739092.08,1118,101581577,1109,28436191,175,604859,31,553991,30,505137,5,10676,3,17942,12,182369,5,162193,793,737862,60,41625,265,1072163,265,459429,1122,117227268,563,1225585,335,395696,528,141363,50,88942,909,1157369,1003,3008955,28,12823,29,27704,13,14928,613,180727,677,212777,1058,3629813,70,1075733,205,1442861,5,301672,192,7314146,113,1207036.21,13,159047,0,0,22,105005,78,1525025,78,441337.95,95,3217617,68,1073032,73,93146,71,74944,71,11801.83,245,4640597,220,2441351,109,288028,244,2018995,97,741686,147,-849463,245,-107777,15,48257,7,4498,2,31200,80,140178,74,3843795,65,2337053,78,1457975,61,407504.02,13,34762,68,29433.99,0,0,49,138077.42,153,2086015.63,3,20875.64,0,0,991,904,530445,89,19296.56,485,175021.46
1493 Conference and Event Organisers,Female,"e. $180,000 or more",54,54,13926721,54,4838562.45,54,272410.52,1,4260.58,54,276671.1,54,4749079.94,4,33354.72,54,5427143,52,1813018,9,49179,6,333460,6,515604,1,3300,1,1777,0,0,0,0,38,43224,6,1732,21,761770,21,326467,54,14205550,23,68871,8,9469,14,5471,1,1433,40,37908,45,123152,1,20,0,0,0,0,25,12661,29,17854,48,278829,5,76807,11,140833,1,-208493,20,3884051,15,731390.33,0,0,0,0,2,12447,13,1611375,13,604967.26,13,3241885,2,23103,7,9135,7,8276,6,1595.01,21,554344,19,290969,9,58716,22,316302,10,27878,12,-139521,22,-111643,2,190,0,0,4,117031,3,8111,2,363418,2,135115,3,217214,2,72699.1,0,0,2,687.74,0,0,10,432491.8,4,41975,0,0,0,0,52,43,27796,3,556.34,41,25372.84
1493 Conference and Event Organisers,Male,"a. $18,200 or less",366,360,3273614,9,10594.2,1,55.76,0,0,1,55.76,6,9291.45,0,0,355,3049147,310,447699.07,43,60876,1,378,0,0,78,516631,8,40848,1,605,1,200,193,74664,8,2248,34,44035,34,18860,364,3702293,24,47983,11,31829,54,14020,12,46276,55,62330,84,202438,5,1247,2,246,0,0,35,19402,56,41873,117,278238,4,94558,12,104498,4,-52717,22,64013,7,6643.35,12,47597,0,0,6,33867,9,22886,1,16.64,11,51408,10,110240,9,6617,7,3906,6,275.34,15,276707,12,104353,5,18577,15,168464,6,58714,9,-73401,15,-14687,5,35419,3,5755,0,0,5,13032,38,1159033,32,1369151,37,-254963,1,3334.5,0,0,0,0,5,1358.51,0,0,139,3292813.39,4,23203,0,0,161,77,43009,11,3531.27,8,865.77
1493 Conference and Event Organisers,Male,"b. $18,201 to $37,000",532,532,14598107,532,938598.42,364,187118.8,0,0,362,185825.46,414,852871.01,5,12231.99,526,12774595,499,1977561.55,118,265456,3,13658,8,19036,120,742802,18,237966,0,0,3,42960,292,139195,28,5555,57,113100,57,48453,532,15546626,155,319470,83,70496,256,77898,27,74462,288,242530,379,784856,3,112,7,1289,5,16181,119,55860,214,50580,413,947906,20,465196,18,71940,1,6000,29,118282,8,4597.78,17,119230,0,0,8,100679,7,19434,5,629.88,13,95442,16,1060230,16,81794,12,12689,15,8422.62,43,634930,34,356821,26,83393,41,297720,17,101501,26,-204505,43,-103004,2,9,3,8078,1,20000,9,18851,89,1817803,83,976483,91,759529,56,42212.12,1,862.16,40,1911.89,508,207968.97,1,43.72,202,4937888.12,8,156323,0,0,238,183,93837,23,5424.21,9,1702.25
1493 Conference and Event Organisers,Male,"c. $37,001 to $80,000",1565,1565,88237000,1565,15444141.28,1498,1677127.04,5,2187.77,1498,1679314.81,1564,16741692.74,177,531158,1557,87863506,1543,19077721,304,707373,15,78985,38,84327,44,134310,5,36597,9,110462,11,406848,954,457901,49,8246,172,198193,171,84897,1565,93255773,818,1990658,379,437123,1108,392966,76,146490,1202,1416486,1404,4383723,21,10551,37,87403,14,20430,604,151924,861,217219,1456,5007983,67,1517153,121,788425,2,3539,72,1041786,25,55228.05,31,347897,2,52187,29,231963,34,282355,34,58432.51,42,701297,55,546296,28,89110,24,19187,25,13611.99,146,2585781,133,1586978,74,202339,150,1316823,43,211356,107,-731715,150,-520359,11,3238,9,100205,2,35000,76,101733,165,6118877,150,4615747,171,1316596,129,296114.25,13,38181,86,11661.28,1218,272621.04,54,27220.97,394,9258603.1,18,246807.13,1,666.67,849,734,378475,84,18911.41,58,7074.48
1493 Conference and Event Organisers,Male,"d. $80,001 to $180,000",484,484,49999617,484,12666805.93,483,993789.37,24,24452.96,483,1018242.33,484,13564853.16,37,214471.71,480,46638460,476,13111279,105,564611,7,168067,11,143156,2,4784,1,4911,3,160358,1,39831,281,191261,31,22851,97,444625,97,190528,484,51838053,245,669869,142,222286,275,82021,10,19031,384,476376,431,1469583,22,5720,11,14334,9,5685,224,75090,311,129468,457,1837819,45,749328,77,758490,5,116922,53,1973879,28,255543.48,3,76556,2,16697,13,72964,19,111649,19,29784.31,24,343922,30,1546015,22,167726,19,18148,21,40629.42,78,1152573,78,807916,45,113623,82,679909,16,54731,66,-503606,82,-448875,11,14742,5,7041,2,65000,45,72132,50,2747841,51,1762926,55,954601,39,280583.08,4,28036,27,9029,0,0,17,34336.31,41,791570,1,6289,0,0,391,363,223368,36,10372.88,151,51167.25
1493 Conference and Event Organisers,Male,"e. $180,000 or more",52,52,13678268,52,4796570.6,48,235906.96,6,13696.03,47,240753.53,51,4799651.15,2,7227,51,9231123,51,3361673,7,38087,6,242097,6,565828,0,0,0,0,0,0,0,0,34,67643,8,5933,19,840379,19,360159,52,14055679,22,107823,14,69560,17,3522,0,0,31,67871,38,248776,0,0,1,25,5,57958,19,18251,28,28221,43,376906,7,290458,12,163088,1,-2940,17,1798039,13,398173.22,0,0,0,0,2,13948,9,224003,9,74840.27,9,373008,5,93554,13,374627,13,67363,12,174920.16,12,350453,9,91929,3,9871,12,145802,8,133389,4,-30538,12,102851,1,3488,2,3422,0,0,8,23675,3,912936,2,825488,3,87448,3,29432.52,0,0,3,1389.9,0,0,7,153599.3,3,6927,0,0,0,0,43,28,16870,2,594.51,25,14119.16
1494 Transport Services Managers,Female,"a. $18,200 or less",97,92,969813,2,511.91,0,0,0,0,0,0,0,0,0,0,87,1124484,67,156146,9,34137,4,16785,1,96,3,19000,5,20851,1,2231,0,0,54,36014,5,254,13,18995,13,8134,95,1253859,9,25030,0,0,29,6042,0,0,31,20024,45,51096,0,0,2,15,0,0,16,6722,29,8048,58,70750,2,36073,2,2384,6,50214,10,24872,1,95,0,0,0,0,1,12848,2,1674,0,0,4,11069,9,114885,3,5307,2,93,2,12,20,277069,20,267844,6,22877,20,158768,3,1857,17,-174277,20,-172420,2,2254,1,638,0,0,4,4869,10,300767,10,243335,10,43576,0,0,0,0,0,0,2,511.91,0,0,8,93857,0,0,0,0,53,45,29684,6,1725.36,5,462.98
1494 Transport Services Managers,Female,"b. $18,201 to $37,000",324,324,9229145,324,635537.95,218,115819.14,1,294.13,218,116113.27,269,559577.6,0,0,308,8090692,285,1158008,62,316960,10,63842,10,45110,30,185898,22,228900,3,39110,3,32109,181,107664,20,2839,52,109309,52,46829,324,9845387,99,243742,29,52275,194,52346,5,6967,192,118968,249,474298,7,2697,6,3011,2,1617,113,33629,135,31935,271,593353,21,472830,27,272556,4,13185,41,326967,10,8316.88,3,34272,0,0,6,30925,11,111767,11,9942.9,12,231177,17,114870,11,16641,8,2409,10,2575.74,48,613360,42,402671,24,60700,50,333631,17,74360,33,-258002,50,-183642,4,3305,2,33606,1,35000,9,11166,21,648579,22,490168,23,155217,12,8113.65,2,3367.71,19,1233.42,308,130289.22,0,0,24,242377.73,1,6857,0,0,188,171,114348,19,8133.19,19,3547.29
1494 Transport Services Managers,Female,"c. $37,001 to $80,000",1211,1211,71684707,1211,13062068.44,1180,1387116.01,13,8232.5,1180,1395348.51,1211,14197989.86,43,138595.85,1203,71746193,1196,15821022.26,193,811991,32,421149,28,154016,25,88359,27,198405,10,111441,0,0,676,446239,52,42121,182,449475,182,192531,1211,75277663,643,1538503,174,246397,943,286511,42,118868,946,903712,1122,3093991,19,11345,21,2898,10,18639,613,154916,702,169474,1145,3574126,67,1058795,173,1387261,12,-88396,77,902696,20,52005.5,10,149042,1,9230,11,45422,34,214052,34,35323.4,39,456876,45,770921,22,8091,22,8091,19,680.21,209,2988807,190,1923307,104,289847,210,1696587,56,275011,156,-1195945,212,-920934,10,22531,2,257,1,35000,56,87843,25,720922,25,572985,29,130072,13,39237.63,9,16715,30,5555.42,827,173572.6,55,20725.03,86,1369445.43,10,101024.6,0,0,748,674,406443,75,22916.62,105,24367.2
1494 Transport Services Managers,Female,"d. $80,001 to $180,000",631,631,67130099,631,17232919.42,628,1333700.52,42,44094.13,628,1377794.65,631,18459659.61,22,110624.06,624,64278510,621,18370016,126,755779,15,359054,18,407819,1,1197,3,17257,8,112113,1,35486,372,259080,45,12985,138,1013019,137,434006,631,69407617,313,908315,124,144992,451,135101,31,72993,496,566819,573,1828220,20,14230,24,25663,5,5003,368,140200,363,98563,602,2277518,45,540072,151,1117641,5,195417,59,1469186,31,78748.38,1,-1341,0,0,7,23529,27,223423,27,59645.96,31,430844,47,1049795,18,24541,17,17794,17,1455.74,139,2739581,120,1739648,74,232909,139,1364709,44,329396,96,-927081,140,-597685,12,17531,1,36,2,67000,54,96851,7,771107,7,476926,11,246893,5,76300.2,7,16447,12,7825.4,0,0,32,91285.62,25,184317,0,0,0,0,521,466,284137,62,22238.51,232,84735.73
1494 Transport Services Managers,Female,"e. $180,000 or more",54,54,14174616,54,4950115.2,53,279322.36,1,2797.98,53,282120.34,54,5153399.62,0,0,52,9587902,51,3499024,3,59756,4,158815,4,341190,0,0,1,10584,2,20007,0,0,39,313675,10,13631,30,1039575,30,445524,54,14401832,20,59938,10,10290,19,5333,3,23508,33,45378,44,144447,5,988,2,619,3,16774,32,35640,27,11859,49,227216,9,185553,21,355704,3,-61607,21,1064886,9,70262.04,0,0,1,66883,1,3750,10,994825,10,402688.77,13,2056251,9,149816,6,18043,6,18043,5,22869.38,24,645604,20,291566,14,45428,24,311613,11,102011,13,-105014,24,-3003,2,15002,0,0,0,0,6,16889,1,6600,1,10350,1,-3750,0,0,1,3001,1,1.94,0,0,5,134967.37,0,0,0,0,0,0,53,36,26653,6,2263.27,32,23601.46
1494 Transport Services Managers,Male,"a. $18,200 or less",676,651,5728229,6,6801.16,0,0,0,0,0,0,1,5633.55,0,0,603,7710259,467,1115888.5,109,614706,1,6392,10,25079,70,447755,43,310868,3,19027,1,21111,289,222163,38,5036,100,124502,100,53331,669,7616361,52,225746,23,76383,191,38135,6,7762,156,157290,269,505316,10,7490,10,45972,6,82862,54,11654,186,74808,372,829717,2,10341,38,343177,21,-274288,67,136952,8,31487.78,4,35844,4,36870,17,520776,12,101613,0,0,19,1029007,44,1185188,13,21347,10,577,4,29.57,98,1800674,84,1342370,33,144959,95,992634,34,157213,65,-836502,99,-679289,17,57969,5,56926,1,5540,36,95271,101,6681041,97,8209014,103,-1981431,0,0,0,0,0,0,5,1167.61,0,0,30,511954,8,84119,0,0,288,258,180496,36,9068.99,10,1596.92
1494 Transport Services Managers,Male,"b. $18,201 to $37,000",2274,2274,63960653,2274,4297190.99,1310,691503.55,1,252.75,1310,691756.3,1776,3649223.87,0,0,2099,53828242,1848,7671558.22,479,5169423,22,151974,35,94747,215,1292324,177,1981018,21,176296,7,130303,1038,910254,135,56645,365,894006,365,383047,2274,68545419,491,1319937,160,831307,1477,387140,19,29469,1200,906224,1764,3474077,29,11286,44,21839,14,48615,554,117195,1042,316858,1914,4460091,31,633247,163,1901401,27,-233682,218,2444480,35,61145.02,31,326197,0,0,21,249043,52,324235,35,18134.26,66,935539,111,2477101,31,42626,27,30799,25,2914.73,306,5272586,266,3667360,144,444319,308,2864147,100,530758,212,-2233998,312,-1703240,51,184632,10,72725,10,178902,112,287148,221,9757930,210,8055428,214,1572353,133,114750.11,21,19494.38,152,8696,2116,887780.14,16,12634.39,79,1119088.39,12,139222.5,1,8195.7,990,912,614982,95,32663.55,34,3060.63
1494 Transport Services Managers,Male,"c. $37,001 to $80,000",8562,8562,519684877,8562,96529086.53,8350,10056604.57,36,25441,8350,10082045.57,8558,104808464.3,189,591134.16,8414,513829214,8323,114158291,2182,13178542,146,1730121,182,861036,219,737896,115,778525,81,763337,42,1054218,3939,1864378,462,180491,1338,4291792,1336,1838486,8562,551409161,3813,11267284,1451,5009074,7219,2404461,199,381504,6420,7791926,7956,26854249,205,114045,172,220193,78,194091,3466,982625,5292,1447488,8181,31609828,259,3601895,1047,10018491,69,-644120,590,8684611,144,213207.83,59,929981,25,373657,76,921211,177,1370725,177,280390.98,232,3999673,430,7268922,150,258088,132,118550,123,7420.38,1298,20499216,1203,14511345,658,1881310,1308,11180527,315,1606531,1003,-8680496,1320,-7073965,116,709976,36,290854,17,270378,652,1505206,442,24338737,423,20413169,444,3471637,315,858066.5,93,151511.99,429,84010.65,5342,1088465.95,327,213602,321,5439261.69,47,528935,1,1333.34,4363,4019,2460211,437,153672.87,323,53800.28
1494 Transport Services Managers,Male,"d. $80,001 to $180,000",6777,6777,738445400,6777,191547697.6,6742,14659178.84,343,390703.1,6741,15049492.11,6775,204976050.6,108,615368.46,6736,712343094,6703,206009112.2,2018,16587258,207,4423487,234,3198552,29,77600,11,51257,111,1519206,98,2526196,3399,2072891,563,185789,1517,8107576,1514,3467625,6777,770865475,3158,13299987,1475,3865463,5601,1714210,192,482285,5442,7515753,6411,26877698,263,109010,143,241313,92,488733,3321,1124550,4376,1399003,6570,32284615,663,8720209,1517,14183173,58,-372067,592,12321319,302,1069123.81,30,724041,8,70434,43,395118,250,4457627,250,1313172.5,322,10951446,487,8734498,203,608832,182,220354,169,102427.67,1340,24517235,1260,16417681,737,2370184,1347,12990781,321,2006106,1033,-9267517,1355,-7261411,111,467882,33,259818,12,264353,765,1755905,169,13413334,175,10336194,188,2754354,120,976895.05,128,301003,193,88965.78,0,0,378,926898.76,119,1516568.47,6,47980,1,4029.02,4979,4506,2927619,629,240517.06,1571,526413.88
1494 Transport Services Managers,Male,"e. $180,000 or more",579,579,153331927,579,53684429.72,574,3003855.15,48,123451.79,574,3121802.34,579,55827427.26,5,20238,576,116724293,570,43515262.58,138,1807127,51,4300945,48,3082236,3,5785,2,8505,17,242228,14,429900,364,609205,106,87595,254,7496542,253,3182656,579,156609653,207,1327400,115,252190,328,84197,24,63227,419,590652,505,2317666,25,11521,17,90021,36,218775,307,205233,335,205574,537,3243352,141,2788022,218,2421971,16,-615339,117,8475230,75,1938526.51,4,341876,8,333226,4,69696,64,5866804,64,2520034.57,79,13849649,79,2817768,53,300179,50,167593,49,225137.69,202,5165133,177,3045955,113,448484,205,2659443,66,649126,140,-1637875,207,-988749,24,59795,13,207043,0,0,73,194562,17,873851,18,625848,18,189381,11,102254.31,17,42795,17,10868.35,0,0,71,1637670.49,7,23284,0,0,0,0,545,418,298024,47,18621.77,376,229271.13
"1499 Other Hospitality, Retail and Service Managers",Female,"a. $18,200 or less",402,398,4043206,9,9412.24,0,0,0,0,0,0,4,8283.59,0,0,381,4360096,319,620070,42,52969,13,50431,7,28865,43,257037,12,95745,4,8662,2,14873,232,110684,12,5645,135,140804,134,60131,400,4654468,45,77149,8,4555,120,22422,7,22806,122,69882,177,196814,8,1282,6,17338,3,65824,71,16419,128,46766,240,357416,8,111778,29,42920,7,-149942,34,106600,14,7227.71,1,1320,0,0,12,92796,18,61613,0,0,25,229608,26,1468432,15,27901,11,2255,9,1427.66,80,1788896,78,1248992,46,184078,81,896655,18,107190,63,-648019,81,-540829,4,3808,4,23349,0,0,6,12973,26,379297,26,401245,26,-146041,0,0,0,0,0,0,5,1128.65,0,0,83,1571550,4,68778.88,0,0,261,210,125984,31,8077.67,21,4910.52
"1499 Other Hospitality, Retail and Service Managers",Female,"b. $18,201 to $37,000",1054,1054,29918625,1054,2065957.28,771,408091.28,4,957.28,771,408761.81,904,1935881.69,6,19078.99,1040,28773118,1017,4391131.05,261,290936,32,236743,31,130509,140,734224,43,520916,6,38053,4,20100,677,324297,60,11426,365,419405,365,179207,1054,31812902,370,666432,113,79407,638,156182,42,91868,630,391996,833,1385885,16,10419,20,11270,24,63019,409,93331,471,108718,904,1842664,50,1063093,113,641566,7,-175110,98,549070,37,45351.03,8,79466,2,7201,23,197639,46,153318,37,7512.12,57,499423,67,1428413,36,47669,30,11645,30,2961.72,188,2959762,178,2166101,85,266101,185,1533275,47,229029,141,-1234744,189,-1005715,11,36922,5,6693,2,48332,46,120486,60,1315657,56,1148696,64,69206,30,15550.4,6,4918.42,45,1855.81,1014,428798.93,9,5362.97,248,4434833,10,82266,0,0,653,553,332908,71,22091.93,66,14291.35
"1499 Other Hospitality, Retail and Service Managers",Female,"c. $37,001 to $80,000",4382,4382,266435249,4381,49560882.72,4323,5223441.92,38,22970.16,4323,5246412.08,4382,53892787.12,299,939574.19,4369,273308165,4357,61891946.34,1111,1592633,89,809016,105,650003,76,278097,63,434367,61,728343,16,394397,2900,1464626,210,48119,2121,2307661,2120,986584,4382,279846387,2558,5601240,904,667681,3321,1002922,199,400376,3502,3354633,4105,11026852,131,84746,86,96135,99,125598,2528,642218,2612,627461,4230,13377476,261,4834415,977,5865980,31,-372361,385,2184310,227,148233.43,21,143128,7,44334,47,291172,251,795673,251,164242.02,294,1772393,281,4490645,142,218903,130,57777,127,14332.59,1064,16970597,1041,13132983,565,1667955,1078,9314236,174,788019,906,-7932596,1081,-7144577,33,119849,23,66084,1,35000,476,736679,117,49110120,114,48936365,127,9895,66,112984.43,60,107897.69,82,12344.37,2725,557531.29,190,114007,560,9214036,21,174884,1,666.67,3229,2969,1831189,330,100012.94,517,133510.7
"1499 Other Hospitality, Retail and Service Managers",Female,"d. $80,001 to $180,000",5310,5310,586504216,5310,153010178,5285,11653406.15,196,202117.02,5283,11851931.54,5306,163775934.1,242,1418167.19,5303,578339259,5294,167515956.1,1017,2536128,116,2399053,161,2834139,11,44375,7,29703,56,802966,8,225602,3739,3091883,474,191586,4041,8517666,4039,3639872,5310,607840065,2852,7342499,1276,964854,3383,977236,261,628368,4481,5244247,5009,15157204,219,112058,155,330169,301,938487,3440,1280124,3285,1056860,5194,21034237,516,7985817,1754,11478345,38,-459373,680,5703974,434,899734.03,3,30341,8,111719,52,450055,561,4654552,560,1344216.03,705,10136725,586,10536911,370,531002,354,231494,342,169668.29,1706,31786030,1650,22809282,908,3020100,1715,15920958,360,1698916,1361,-11663226,1723,-9964310,71,262839,46,158346,3,62500,1118,2071456,67,2133612,78,1407364,88,455581,38,180254.57,51,114590,65,23386.87,0,0,222,693043.3,266,3643571,9,94591,0,0,4804,4313,2735241,549,198524.65,2278,844219.39
"1499 Other Hospitality, Retail and Service Managers",Female,"e. $180,000 or more",812,812,234289157,812,83961830.18,795,4554757.58,13,34801.12,795,4589558.7,812,88939408.2,10,92280.72,811,199105417,810,75643438,75,239311,48,2135487,62,4703870,0,0,0,0,10,353408,3,221466,616,1517015,180,303678,687,7525904,686,3224762,812,239510168,232,651173,177,339427,200,57605,37,139146,688,1209359,730,2396710,41,31037,46,218214,116,604914,611,697408,525,426112,791,5186799,131,2253622,402,3635652,5,-218318,208,3005456,137,522947.19,2,78544,1,215782,10,130137,164,5519441,164,2231235.52,211,11626175,161,4690619,164,585929,152,234932,132,42464,323,9016095,303,6105729,182,764624,330,4780710,87,789942,244,-3424910,331,-2634968,43,62608,10,49170,2,67270,221,731886,7,146578,10,131936,11,10957,2,18578.73,10,53008,6,3133.97,0,0,56,1202779.34,13,136608,0,0,0,0,795,512,368390,29,7893.78,487,317405.4
"1499 Other Hospitality, Retail and Service Managers",Male,"a. $18,200 or less",431,424,3553569,13,42083.06,0,0,0,0,0,0,11,40905.77,0,0,384,5496925,306,1029451,48,168812,5,28398,18,62286,46,313068,20,111017,2,35711,0,0,240,174468,31,7489,100,170395,100,72941,431,4697421,41,120902,12,9189,109,21954,11,16007,96,125374,160,293426,10,11068,12,79870,8,16738,63,20497,101,62294,232,579976,11,145728,30,333922,13,-312636,48,-168635,16,11561.61,8,32317,1,15294,16,200981,25,100959,1,64.96,32,336890,39,1380783,17,17318,16,15208,16,385.49,91,3015469,84,2366172,42,422932,93,1548272,26,137022,67,-1458929,93,-1321907,9,37792,3,28781,1,35000,19,60914,68,4943937,67,5485130,74,-670090,0,0,0,0,0,0,1,385.89,0,0,62,1257131.51,0,0,0,0,246,192,128018,35,15578.51,16,2911.86
