Income year,Lodgment method,Gender,Taxable status,State / Territory,Age range,"Number of individuals
no.","Salary or wages 
no.","Salary or wages 
$","Total Income or Loss 
no.","Total Income or Loss 
$","Total work related car expenses 
no.","Total work related car expenses 
$","Work related travel expenses 
no.","Work related travel expenses 
$","Total work related uniform/clothing expenses 
no.","Total work related uniform/clothing expenses 
$","Total work related self education expenses 
no.","Total work related self education expenses 
$","Other work related expenses 
no.","Other work related expenses 
$","Gifts or donations 
no.","Gifts or donations 
$","Cost of managing tax affairs 
no.","Cost of managing tax affairs 
$","Total deductions 
no.","Total deductions 
$","Capital gains net capital gain 
no.","Capital gains net capital gain 
$","Net rent - profit 
no.","Net rent - profit 
$","Net rent - loss 
no.","Net rent - loss 
$","Net rent 
no.","Net rent 
$","Total business income 
no.","Total business income 
$","Total business expenses 
no.","Total business expenses 
$","Net income or loss from business 
no.","Net income or loss from business 
$","Taxable income or loss 
no.","Taxable income or loss 
$","Net tax 
no.","Net tax 
$"
2010–11,Agent,Female,Non Taxable,NT,l. 70 - 74,155,30,309038,155,2758496,5,6818,0,0,10,1381,0,0,10,4246,45,22242,75,18448,90,169730,10,4730,20,176483,10,-78837,25,97646,10,838491,15,853475,15,-54284,145,2655400,0,0
2010–11,Agent,Female,Non Taxable,NT,m. 75 and over,155,5,52983,155,3121432,5,1530,0,0,5,300,0,0,5,361,45,27666,90,26436,95,75307,15,15731,15,182900,0,0,15,182900,5,1363113,5,1474478,5,-111640,150,2994876,0,0
2010–11,Agent,Female,Non Taxable,QLD,a. Under 18,10610,8045,51956390,10555,69787816,85,66219,40,9042,2935,461552,120,134885,1270,298678,450,21764,510,54960,3770,1071130,205,266358,5,25436,5,-5306,10,20130,45,512392,45,320900,60,187406,10540,68728397,0,0
2010–11,Agent,Female,Non Taxable,QLD,b. 18 - 24,23665,21740,196969912,23475,265257492,1255,1587877,285,145567,8940,1612539,1190,2926077,5040,1522619,2190,241411,5390,686095,13035,8822446,105,187544,35,119049,200,-1752928,235,-1633879,1085,15791032,940,11852670,1095,3515401,23320,257306968,0,0
2010–11,Agent,Female,Non Taxable,QLD,c. 25 - 29,17010,12840,122526520,16325,173541526,1360,2121098,220,162910,5200,1003903,500,1817146,3800,1625791,2080,293635,5575,906863,9320,8357616,195,705607,145,422353,1435,-10481681,1580,-10059328,1840,50751528,1735,44489953,1890,4928178,15340,170013607,0,0
2010–11,Agent,Female,Non Taxable,QLD,d. 30 - 34,20830,13140,129199355,19500,185180618,1770,2704913,300,265484,5670,1055382,490,1354815,4750,2169216,2910,453098,7265,1457844,11775,11161274,490,2387149,480,1520661,2860,-21760357,3345,-20239696,2670,71654937,2580,63751621,2765,5669112,17385,185178997,0,0
2010–11,Agent,Female,Non Taxable,QLD,e. 35 - 39,24995,14070,143444787,23200,208744367,2015,3284261,310,216135,6050,1146133,505,939574,5515,2639843,3495,568179,8655,2029558,14060,14623745,800,3855275,775,2636882,3580,-29031988,4350,-26395106,3735,178773500,3660,167215256,3825,7500620,20140,210404438,0,0
2010–11,Agent,Female,Non Taxable,QLD,f. 40 - 44,22900,12600,138306930,21410,193864771,1800,3216829,300,279600,5455,1054273,400,706933,4795,2369270,3465,672153,8170,2133804,13105,15163374,795,4297782,885,3671199,3275,-32818017,4160,-29146818,3615,186180002,3555,177653555,3715,3734956,18475,196765130,0,0
2010–11,Agent,Female,Non Taxable,QLD,g. 45 - 49,18640,9895,118783979,17730,150897952,1490,3041706,260,349795,4420,886281,265,500800,3700,1861473,2805,664120,7035,3650893,10885,16475078,760,4953663,825,3604236,3090,-35408099,3915,-31803863,3015,167968746,2995,163792146,3105,1659616,14915,158819174,0,0
2010–11,Agent,Female,Non Taxable,QLD,h. 50 - 54,16955,8440,107411932,16435,127423673,1405,2897380,230,446528,3775,744117,195,358295,3150,1853412,2735,727957,6665,2101968,10100,16896075,930,6320946,1155,5153226,3190,-37928458,4345,-32775232,2635,139407550,2645,131317225,2725,4233622,13460,139647613,0,0
2010–11,Agent,Female,Non Taxable,QLD,i. 55 - 59,19250,8495,110468816,18930,203823354,1400,2756867,225,294751,3800,731914,120,273393,3295,1780532,3745,991111,8065,2887716,11605,18175656,1135,6743591,1780,8469969,3150,-35014543,4930,-26544574,2275,186456109,2260,182856229,2355,-566517,16155,208111260,0,0
2010–11,Agent,Female,Non Taxable,QLD,j. 60 - 64,22395,8180,100614742,22175,227338287,1210,2246295,180,148098,3275,603713,50,86274,3040,1479631,5195,1646829,10130,3785720,13585,22197592,1670,11313990,2550,14100042,2440,-24920242,4990,-10820200,2140,125405437,2135,121118008,2240,596341,19415,225148531,0,0
2010–11,Agent,Female,Non Taxable,QLD,k. 65 - 69,17215,4310,54336906,17135,257109856,620,1142294,90,213954,1510,271353,20,37206,1570,782190,4850,2176417,8335,2820253,10595,14544150,1560,6569753,2110,14909940,1040,-8475978,3155,6433962,1235,68098863,1215,64522358,1285,2102096,15825,245932430,0,0
2010–11,Agent,Female,Non Taxable,QLD,l. 70 - 74,10225,1105,11202879,10195,162578452,155,247003,25,11460,270,45618,5,218,350,168508,3315,1848662,5515,2059915,6655,8222568,1115,3072165,1230,8915481,335,-2498267,1565,6417214,490,20741178,500,20231721,520,117219,9645,157683821,0,0
2010–11,Agent,Female,Non Taxable,QLD,m. 75 and over,14235,350,3351903,14205,271854897,35,88471,10,44353,55,8924,5,10867,85,80055,5125,3288962,8775,2584665,10010,9333263,1715,3606383,1365,10398960,235,-1706686,1600,8692274,425,27548800,445,27081200,460,100246,13800,263692430,0,0
2010–11,Agent,Female,Non Taxable,SA,a. Under 18,3660,2450,13880060,3650,20776348,25,11762,10,1679,775,127587,40,55212,570,107655,75,1837,125,18395,1190,332158,115,136743,5,14929,0,0,5,14929,10,42343,5,17760,10,24583,3650,20444274,0,0
2010–11,Agent,Female,Non Taxable,SA,b. 18 - 24,7180,6530,58961733,7135,82533481,480,435521,75,63452,2915,526649,465,1003364,2050,579157,665,64553,1425,170083,4290,2922129,40,116529,10,46662,65,-491104,75,-444442,355,5638010,290,4217280,355,1374640,7090,79912739,0,0
2010–11,Agent,Female,Non Taxable,SA,c. 25 - 29,4795,3645,35180135,4620,51328714,460,481066,65,59781,1720,318383,200,819549,1350,483402,580,80410,1510,239157,2845,2604762,55,375202,55,134580,405,-2773592,460,-2639012,550,14088132,495,12079213,560,1602591,4400,49834436,0,0
2010–11,Agent,Female,Non Taxable,SA,d. 30 - 34,6555,4330,41970422,6190,61413997,680,709099,85,43385,1900,349007,160,495103,1820,758111,900,117542,1975,343567,3750,3286024,150,480265,150,474460,895,-5989246,1045,-5514786,820,20938620,795,18275889,845,2151871,5640,59442279,0,0
2010–11,Agent,Female,Non Taxable,SA,e. 35 - 39,7970,4660,46194261,7390,72753108,780,943797,85,67257,1985,363912,160,318215,2020,799934,1055,179857,2375,505879,4440,4271037,235,1193802,275,890441,1035,-7896079,1310,-7005638,1165,36641479,1125,32016598,1180,3777118,6665,69695932,0,0
2010–11,Agent,Female,Non Taxable,SA,f. 40 - 44,7655,4350,46597553,7090,71726643,795,1185271,105,104761,1915,374202,135,319289,1845,783043,1105,219657,2395,514070,4280,5109089,245,978864,290,971917,935,-7721374,1225,-6749457,1140,36166433,1115,32126715,1170,3104375,6355,68270544,0,0
2010–11,Agent,Female,Non Taxable,SA,g. 45 - 49,6315,3445,39601521,5960,61702255,675,1066500,65,109975,1590,320983,115,287720,1430,625493,1000,180712,2075,515525,3570,4465993,255,1458974,315,1250292,830,-7782101,1145,-6531809,1125,41544666,1105,36770805,1150,3725809,5280,57584806,0,0
2010–11,Agent,Female,Non Taxable,SA,h. 50 - 54,5690,3105,36783535,5500,54956416,595,989815,55,101410,1445,291869,90,139548,1345,617722,990,242955,1990,527110,3340,4950650,305,1678445,345,1330110,885,-9032447,1235,-7702337,925,47641685,910,43810602,940,2819648,4830,50024551,0,0
2010–11,Agent,Female,Non Taxable,SA,i. 55 - 59,6520,3220,40270395,6445,77849351,675,1096022,95,171416,1465,295756,55,148910,1385,720872,1310,305364,2480,827118,3965,6226666,415,1676641,505,2115305,875,-8873511,1380,-6758206,925,48022659,890,44522616,945,2760716,5835,72342089,0,0
2010–11,Agent,Female,Non Taxable,SA,j. 60 - 64,8045,3135,36589789,7975,91380884,580,822961,70,148608,1260,237480,30,55665,1355,563012,1915,559959,3145,842379,4765,6864556,630,2746501,730,3416955,615,-5071433,1345,-1654478,805,28823169,770,25799109,815,1967322,7370,85344109,0,0
2010–11,Agent,Female,Non Taxable,SA,k. 65 - 69,6590,1725,20138205,6565,103821476,280,400794,35,51690,575,108300,10,7274,695,320279,1895,724236,2790,835337,3925,4968402,645,2302450,695,4456771,270,-1763265,965,2693506,465,14762224,440,12974556,475,1346169,6265,99218685,0,0
2010–11,Agent,Female,Non Taxable,SA,l. 70 - 74,4125,410,3992000,4110,70546826,65,99071,5,5023,95,20649,5,2324,150,82485,1400,597277,1940,592231,2650,3153719,465,1135329,380,2593951,75,-455698,455,2138253,165,6033243,165,5811731,175,60893,3990,67189372,0,0
2010–11,Agent,Female,Non Taxable,SA,m. 75 and over,6515,125,1049906,6500,130418837,10,12739,5,2115,10,1166,0,0,30,15478,2325,3478554,3605,1032548,4480,6211249,735,1229454,470,3509326,50,-278971,520,3230355,115,3859753,115,4053784,120,-371083,6420,123794178,0,0
2010–11,Agent,Female,Non Taxable,TAS,a. Under 18,1200,905,5698011,1195,7859013,10,6179,5,766,350,58014,20,21415,180,36359,45,2395,60,5727,450,131098,25,24917,0,0,0,0,0,0,0,0,5,550,5,-550,1195,7727915,0,0
2010–11,Agent,Female,Non Taxable,TAS,b. 18 - 24,2645,2425,21595989,2635,32314162,190,183407,40,16879,1305,243576,190,321725,695,184945,260,23637,840,91013,1815,1074845,20,23853,5,11588,10,-20252,15,-8664,75,1427536,70,1297122,75,119031,2625,31286822,0,0
2010–11,Agent,Female,Non Taxable,TAS,c. 25 - 29,1770,1330,12022870,1675,20348312,180,211175,25,9751,720,138126,35,75884,485,154048,235,29967,765,105649,1135,760850,20,20024,20,40984,100,-425335,120,-384351,175,4582840,175,4326050,180,180387,1625,19852825,0,0
2010–11,Agent,Female,Non Taxable,TAS,d. 30 - 34,2230,1510,13852749,2045,22233623,205,262228,20,7542,810,150129,25,72437,615,214288,345,45905,910,155812,1395,1017122,60,306570,50,149657,160,-849224,210,-699567,235,8204091,230,7559067,240,428267,1940,21897666,0,0
2010–11,Agent,Female,Non Taxable,TAS,e. 35 - 39,2590,1620,15816792,2365,24080402,240,313672,30,17667,810,160517,35,67239,625,225017,380,64215,1045,163484,1560,1141792,85,348041,75,258270,195,-1133958,275,-875688,355,10427184,350,9319478,360,902463,2210,24737972,0,0
2010–11,Agent,Female,Non Taxable,TAS,f. 40 - 44,2415,1480,15271722,2220,22732052,240,385631,30,18637,730,139182,50,104292,580,209228,320,51904,975,163012,1460,1311135,70,233738,80,288514,210,-1102271,290,-813757,350,21512987,345,21630567,360,-415320,2020,23102521,0,0
2010–11,Agent,Female,Non Taxable,TAS,g. 45 - 49,1985,1220,13605410,1875,18484779,200,307526,20,14915,655,129825,30,61585,480,206833,330,70834,880,165710,1250,1140441,65,446822,95,399548,170,-972900,265,-573352,305,14374518,305,13938311,310,182790,1670,19023037,0,0
2010–11,Agent,Female,Non Taxable,TAS,h. 50 - 54,1830,1060,11318333,1770,17079865,190,310907,25,24137,550,110294,20,34059,415,177046,295,110487,800,161007,1125,1213748,70,324963,130,491122,170,-1155891,300,-664769,305,17197641,305,16789173,315,275733,1565,16590533,0,0
2010–11,Agent,Female,Non Taxable,TAS,i. 55 - 59,2405,1315,14957503,2380,31271670,230,420586,30,33139,650,128698,15,17450,565,238530,515,412945,1120,297241,1540,2261039,125,568819,185,871799,205,-1456227,390,-584428,265,8690875,260,8003192,280,343477,2215,29217546,0,0
2010–11,Agent,Female,Non Taxable,TAS,j. 60 - 64,2690,1145,12808546,2675,29879088,195,279897,20,14951,480,87066,5,5142,460,183213,645,202600,1255,285954,1655,1504281,165,578834,245,1198921,150,-1026435,395,172486,290,10627278,290,9667624,305,282591,2480,30013675,0,0
2010–11,Agent,Female,Non Taxable,TAS,k. 65 - 69,2020,585,6645370,2015,33164394,100,119547,15,21908,230,40222,5,1302,270,104973,565,242207,955,204561,1220,1357834,160,615138,220,1276252,70,-376084,290,900168,160,10482870,155,10185197,165,134172,1930,32581011,0,0
2010–11,Agent,Female,Non Taxable,TAS,l. 70 - 74,1230,175,1744331,1225,21670145,40,61790,5,713,45,7930,0,0,65,65067,415,292257,615,132476,780,941499,120,219064,115,759679,25,-159289,140,600390,70,1713325,75,1398126,75,309441,1185,20714978,0,0
